Title,Type,Release,Runtime,Genre,Nominations,Metascore,imdbRating,imdbVotes,imdbID,Budget,Gross
The Final Wish,Movie,2019-1-24,5700,Horror,,,4.3,6926,tt9109306,,95215
The Kid Who Would Be King,Movie,2019-1-25,7200,Action,,66,6.1,17664,tt6811018,59000000,32140970
Serenity,Movie,2005-9-30,7140,Action,,74,7.8,299472,tt0379786,39000000,40445129
I Am Mother,Movie,2019-6-7,6780,Drama,,64,6.7,94081,tt6292852,,643593
The Vast of Night,Movie,2020-5-29,5460,Drama,,84,6.7,41380,tt6803046,,
Miss Bala,Movie,2019-2-1,6240,Action,,41,5.8,11937,tt5941692,15000000,15383580
Velvet Buzzsaw,Movie,2019-2-1,6780,Horror,,61,5.7,63293,tt7043012,,
Piercing,Movie,2019-2-1,4860,Horror,,63,5.5,8108,tt6516314,,149211
The Lego Movie 2: The Second Part,Movie,2019-2-8,6420,Animation,,65,6.6,70130,tt3513498,99000000,199603202
What Men Want,Movie,2019-2-8,7020,Comedy,,49,5.3,28767,tt7634968,20000000,72216294
Cold Pursuit,Movie,2019-2-8,7140,Action,,57,6.2,72016,tt5719748,60000000,76419755
High Flying Bird,Movie,2019-2-8,5400,Drama,,78,6.2,8958,tt8128188,2000000,
The Prodigy,Movie,2019-2-8,5520,Fantasy,,45,5.9,27328,tt4504044,6000000,21127789
Isn't It Romantic,Movie,2019-2-13,5340,Comedy,,60,5.9,71543,tt2452244,31000000,48791187
Happy Death Day 2U,Movie,2019-2-13,6000,Comedy,,57,6.2,78667,tt8155288,9000000,64600152
Alita: Battle Angel,Movie,2019-2-14,7320,Action,,53,7.3,276776,tt0437086,170000000,404980543
How to Train Your Dragon: The Hidden World,Movie,2019-2-22,6240,Animation,1,71,7.4,136250,tt2386490,129000000,524580592
Fighting with My Family,Movie,2019-2-22,6480,Biography,,68,7.1,83767,tt6513120,11000000,41503392
Greta,Movie,2019-3-1,5880,Drama,,54,6.0,35463,tt2639336,,18653107
Triple Frontier,Movie,2019-3-13,7500,Action,,61,6.4,134669,tt1488606,115000000,
Captain Marvel,Movie,2019-3-8,7380,Action,,64,6.8,574706,tt4154664,160000000,1131416446
The Kid,Movie,1921-2-6,4080,Comedy,,,8.3,128699,tt0012349,250000,41960
Wonder Park,Movie,2019-3-15,5100,Animation,,45,5.8,12243,tt6428676,90000000,119559110
Captive State,Movie,2019-3-15,6540,Action,,54,6.0,55569,tt5968394,25000000,8808611
Nancy Drew and the Hidden Staircase,Movie,2019-3-26,5340,Comedy,,55,5.7,5088,tt8323104,,623088
The Aftermath,Movie,2019-3-15,6480,Drama,,43,6.3,22252,tt5977276,,9215591
Five Feet Apart,Movie,2019-3-15,6960,Drama,,53,7.2,72535,tt6472976,7000000,92559910
The Highwaymen,Movie,2019-3-29,7920,Biography,,58,6.9,95263,tt1860242,49000000,
Red 11,Movie,2018-8-10,5160,Horror,,,4.9,486,tt7837402,7000,
Never Grow Old,Movie,2019-12-27,6000,Drama,,65,6.0,4362,tt1158939,,106796
Triple Threat,Movie,2019-3-22,5760,Action,,60,5.6,11870,tt6643972,10000000,345900
Us,Movie,2019-3-22,6960,Horror,,81,6.8,311963,tt6857112,20000000,256067149
Hotel Mumbai,Movie,2019-3-29,7380,Action,,62,7.6,66509,tt5461944,,21315827
The Dirt,Movie,2019-3-22,6420,Biography,,39,7.0,51983,tt0800325,,
Dragged Across Concrete,Movie,2019-3-22,9540,Action,,60,6.9,50420,tt6491178,15000000,660132
Dumbo,Movie,1941-10-31,3840,Animation,1,96,7.2,135720,tt0033563,950000,3731
The Beach Bum,Movie,2019-3-29,5700,Comedy,,55,5.5,23506,tt6511932,5000000,4554416
Unplanned,Movie,2019-3-29,6540,Biography,,10,5.5,14259,tt9024106,6000000,21515607
Shazam!,Movie,2019-4-5,7920,Action,,71,7.0,358232,tt0448115,100000000,367799011
Pet Sematary,Movie,1989-4-21,6180,Fantasy,,38,6.5,108340,tt0098084,11500000,57470138
The Best of Enemies,Movie,2019-4-5,7980,Biography,,49,7.3,17899,tt4807408,10000000,10209813
High Life,Movie,2019-4-12,6780,Adventure,,78,5.8,37722,tt4827558,8000000,2133033
Unicorn Store,Movie,2019-4-5,5520,Comedy,,44,5.6,20019,tt2338454,,
The Haunting of Sharon Tate,Movie,2019-4-5,5640,Drama,,8,2.9,4236,tt7976208,,19717
The Wind,Movie,2019-4-5,5280,Horror,,66,5.6,8817,tt8426594,,130974
The Silence,Movie,2019-4-10,5400,Drama,,25,5.3,47505,tt7315484,,2325977
Hellboy,Movie,2004-4-2,7320,Action,,72,6.8,336868,tt0167190,66000000,99378985
Little Miss Sunshine,Movie,2006-8-18,6060,Comedy,2,80,7.8,492568,tt0449059,8000000,101058954
Missing Link,Movie,2019-4-12,5580,Animation,1,68,6.7,27379,tt6348138,100000000,26565710
After,Movie,2019-4-12,6300,Drama,,30,5.3,58684,tt4126476,14000000,69497587
Her Smell,Movie,2019-5-10,8160,Drama,,70,6.0,7678,tt7942742,,260481
Breakthrough,Movie,2019-4-17,6960,Biography,1,46,6.2,10382,tt7083526,14000000,50444358
Penguins,Movie,2019-4-17,4560,Documentary,,69,7.1,1758,tt8080302,,7699452
The Curse of La Llorona,Movie,2019-4-19,5580,Horror,,41,5.2,52698,tt4913966,9000000,123133739
Under the Silver Lake,Movie,2019-4-19,8340,Crime,,60,6.5,45678,tt5691670,8500000,2053469
Modern Family,TV Series,2009-9-23,1320,Comedy,63,,8.5,446030,tt1442437,,
Fast Color,Movie,2019-4-19,6000,Drama,,64,6.1,6666,tt6418778,,76916
Someone Great,Movie,2019-4-19,5520,Comedy,,63,6.1,23719,tt8075260,5000000,
I Spit on Your Grave: Deja Vu,Movie,2019-4-23,8880,Horror,,,2.4,3096,tt4058836,,
Avengers: Endgame,Movie,2019-4-26,10860,Action,1,78,8.4,1167119,tt4154796,356000000,2799439100
I Trapped the Devil,Movie,2019-4-26,4920,Crime,,47,4.8,2913,tt8708304,1000000,
Body at Brighton Rock,Movie,2019-4-26,5220,Comedy,,53,4.8,2418,tt7942746,,5123
Buffaloed,Movie,2020-6-1,5700,Comedy,,61,6.2,6652,tt8647310,,29118
Long Shot,Movie,2019-5-3,7500,Comedy,,67,6.8,114560,tt2139881,40000000,53873809
The Intruder,Movie,2019-5-3,6120,Horror,,39,5.6,18733,tt6722030,8000000,36599361
UglyDolls,Movie,2019-5-3,5220,Animation,,39,5.1,7185,tt1946502,45000000,32450241
"Extremely Wicked, Shockingly Evil and Vile",Movie,2019-5-3,6600,Biography,,52,6.7,97345,tt2481498,,9816572
The Last Summer,Movie,2019-5-3,6540,Comedy,,,5.5,13679,tt7957694,,
Pokémon: Detective Pikachu,Movie,2019-5-10,6240,Action,,53,6.5,169307,tt5884052,150000000,449762638
The Hustle,Movie,2019-5-10,5580,Comedy,,35,5.4,62268,tt1298644,21000000,97409779
Tolkien,Movie,2019-5-10,6720,Biography,,48,6.8,43041,tt3361792,20000000,9090040
Poms,Movie,2019-5-10,5400,Comedy,,36,6.1,6695,tt5125894,10000000,16418218
The Professor and the Madman,Movie,2019-5-10,7440,Biography,,27,7.2,47891,tt5932728,25000000,5098627
John Wick: Chapter 3 - Parabellum,Movie,2019-5-17,7800,Action,,73,7.4,378567,tt6146586,75000000,328349387
A Dog's Journey,Movie,2019-5-17,6540,Adventure,,43,7.4,26253,tt8385474,16000000,78871079
The Sun Is Also a Star,Movie,2019-5-17,6000,Drama,,52,5.9,7704,tt6423362,9000000,6750029
The Professor,Movie,2019-5-17,5400,Comedy,,37,6.7,34286,tt6865690,,3645308
The Souvenir,Movie,2019-6-7,7200,Drama,,92,6.4,13558,tt6920356,,1777486
The Tomorrow Man,Movie,2019-8-2,5640,Drama,,49,5.8,2070,tt8769848,,354103
Aladdin,Movie,1992-11-25,5400,Animation,3,86,8.0,432738,tt0103639,28000000,504050219
Brightburn,Movie,2019-5-24,5400,Drama,,44,6.1,101636,tt7752126,6000000,33224654
Booksmart,Movie,2019-5-24,6120,Comedy,1,84,7.1,123433,tt1489887,6000000,24959607
The Perfection,Movie,2019-5-24,5400,Drama,,60,6.2,46105,tt7772580,,
Always Be My Maybe,Movie,2019-5-31,6060,Comedy,,64,6.8,58669,tt7374948,,
Godzilla: King of the Monsters,Movie,2019-5-31,7920,Action,,48,6.0,188855,tt3741700,170000000,386600138
Rocketman,Movie,2019-5-31,7260,Biography,0,69,7.3,180899,tt2066051,40000000,195320400
Ma,Movie,2019-5-31,5940,Horror,,53,5.6,55358,tt7958736,5000000,61220856
X-Men: Dark Phoenix,Movie,2019-6-7,6780,Action,,43,5.7,193034,tt6565702,200000000,252442974
The Secret Life of Pets 2,Movie,2019-6-7,5160,Animation,,55,6.4,64712,tt5113040,80000000,431058542
Late Night,Movie,2019-6-14,6120,Comedy,,70,6.5,39139,tt6107548,4000000,22386555
The Last Black Man in San Francisco,Movie,2019-6-7,7260,Drama,,83,7.3,20546,tt4353250,,4637830
Changeland,Movie,2019-6-7,5160,Comedy,,42,5.8,2508,tt6612946,,
Men in Black: International,Movie,2019-6-14,6840,Action,,38,5.6,138572,tt2283336,110000000,253890701
Shaft,Movie,2000-6-16,5940,Action,,50,6.0,78562,tt0162650,46000000,107626125
The Dead Don't Die,Movie,2019-6-14,6240,Comedy,,53,5.4,81508,tt8695030,,15325468
Murder Mystery,Movie,2019-6-14,5820,Action,,38,6.0,148914,tt1618434,,
Plus One,Movie,2019-6-14,5880,Comedy,,65,6.6,12559,tt7645122,,44112
Being Frank,Movie,2019-6-21,6540,Comedy,,41,6.1,1628,tt6547044,,67343
Toy Story 4,Movie,2019-6-21,6000,Animation,1,84,7.7,259548,tt1979376,200000000,1073841394
Anna,Movie,2019-6-21,7080,Action,,40,6.6,86395,tt7456310,30690000,31626978
Child's Play,Movie,1988-11-9,5220,Horror,,58,6.6,107764,tt0094862,9000000,44196684
Annabelle Comes Home,Movie,2019-6-26,6360,Horror,,53,5.9,79233,tt8350360,30000000,231252591
Yesterday,Movie,2019-6-28,6960,Comedy,,55,6.8,158153,tt8079248,26000000,154608856
Ophelia,Movie,2019-6-28,6360,Drama,,60,6.5,12114,tt5690810,12000000,338940
Killers Anonymous,Movie,2019-9-28,5700,Action,,22,4.1,10110,tt8400758,26000000,100581
Spider-Man: Far from Home,Movie,2019-7-2,7740,Action,,69,7.4,510184,tt6320628,160000000,1131927996
Escape Plan: The Extractors,Movie,2019-7-2,5820,Action,,,4.4,15405,tt6772804,,1766092
Midsommar,Movie,2019-7-3,8880,Drama,,72,7.1,344312,tt8772262,9000000,48001776
Stuber,Movie,2019-7-12,5580,Action,,42,6.2,49097,tt7734218,16000000,32390945
Crawl,Movie,2019-7-12,5220,Action,,60,6.1,87688,tt8364368,13500000,91542097
Point Blank,Movie,1967-8-31,5520,Crime,,86,7.3,21979,tt0062138,2500000,
The Farewell,Movie,2019-8-9,6000,Comedy,1,89,7.5,66880,tt8637428,,23076657
Darlin',Movie,2019-7-12,6000,Horror,,49,4.9,2103,tt8396294,,
The Lion King,Movie,1994-6-24,5280,Animation,2,88,8.5,1078156,tt0110357,45000000,968511805
Once Upon a Time in Hollywood,Movie,2019-7-26,9660,Comedy,8,83,7.6,770263,tt7131622,90000000,377617598
Skin,Movie,2019-7-23,7080,Biography,,58,6.8,17317,tt6043142,,135562
The Red Sea Diving Resort,Movie,2019-7-31,7740,Drama,,,6.6,30623,tt4995776,,
Fast & Furious 6,Movie,2013-5-24,7800,Action,,61,7.0,400899,tt1905041,160000000,788680968
A Score to Settle,Movie,2019-8-2,6180,Action,,37,4.7,6544,tt3758162,,171216
The Operative,Movie,2019-7-24,6960,Action,,47,5.8,6899,tt8000718,,1431904
Dora and the Lost City of Gold,Movie,2019-8-9,6120,Action,,63,6.1,32096,tt7547410,49000000,120597108
The Kitchen,Movie,2019-8-9,6120,Action,,35,5.6,21961,tt5822564,38000000,15980032
The Art of Racing in the Rain,Movie,2019-8-9,6540,Comedy,,43,7.5,33767,tt1478839,18000000,33766787
Scary Stories to Tell in the Dark,Movie,2019-8-9,6480,Adventure,,61,6.2,79525,tt3387520,25000000,104545505
The Peanut Butter Falcon,Movie,2019-8-23,5820,Adventure,,70,7.6,93706,tt4364194,6200000,133031473
After the Wedding,Movie,2007-5-11,7200,Drama,1,78,7.7,35596,tt0457655,,11632723
Light of My Life,Movie,2019-8-9,7140,Drama,,67,6.6,14307,tt6063090,,1392898
The Angry Birds Movie 2,Movie,2019-8-14,5820,Animation,,60,6.4,31622,tt6095472,65000000,147792047
Good Boys,Movie,2019-8-16,5400,Adventure,,,6.7,76510,tt6977338,20000000,111173598
Blinded by the Light,Movie,2019-8-16,7080,Comedy,,71,6.9,25853,tt8266310,15000000,18096691
"Where'd You Go, Bernadette",Movie,2019-8-16,6540,Comedy,,51,6.5,23197,tt2365580,20000000,11025353
47 Meters Down: Uncaged,Movie,2019-8-16,5400,Adventure,,43,5.0,28343,tt7329656,12000000,47582563
Gwen,Movie,2019-8-16,5040,Drama,,63,5.7,5581,tt5149490,2000000,47140
Ready or Not,Movie,2019-8-21,5700,Action,,64,6.8,161358,tt7798634,6000000,57615777
Angel Has Fallen,Movie,2019-8-23,7260,Action,,45,6.4,102113,tt6189022,40000000,146661977
Brittany Runs a Marathon,Movie,2019-10-24,6240,Comedy,,72,6.8,21007,tt7671064,,7442106
Overcomer,Movie,2019-8-23,7140,Drama,,17,6.6,5213,tt8186318,5000000,38026103
Jacob's Ladder,Movie,1990-11-2,6780,Drama,,62,7.4,111964,tt0099871,25000000,26118851
Burn,Movie,2019-8-23,5280,Comedy,,50,5.7,5420,tt8009314,,25373
Official Secrets,Movie,2019-8-30,6720,Biography,,63,7.3,50100,tt5431890,,10088753
Don't Let Go,Movie,2019-8-30,6180,Drama,,49,6.3,11831,tt6803212,5000000,5288011
Itsy Bitsy,Movie,2019-12-30,5640,Fantasy,,,4.6,5223,tt6895284,,
The Fanatic,Movie,2020-8-5,5280,Crime,,18,4.1,11708,tt7869070,18000000,
It Chapter Two,Movie,2019-9-6,10140,Drama,,58,6.5,276789,tt7349950,79000000,473122525
Satanic Panic,Movie,2019-9-6,5100,Comedy,,51,5.6,6320,tt8510350,,
Strange But True,Movie,2019-9-6,5760,Thriller,,55,5.9,5087,tt2866708,,343038
The Obituary of Tunde Johnson,Movie,2021-2-26,6240,Drama,,58,5.6,673,tt8815382,,
The Goldfinch,Movie,2019-9-13,8940,Drama,,40,6.4,24805,tt3864056,45000000,9932621
Hustlers,Movie,2019-9-13,6600,Comedy,,79,6.3,103237,tt5503686,20000000,157563598
The Sound of Silence,Movie,2019-9-13,5280,Drama,,66,5.7,1467,tt9352926,,78622
Monos,Movie,2019-8-15,6120,Adventure,,78,6.9,17939,tt6062774,,1929915
Tall Girl,Movie,2019-9-13,6060,Comedy,,,5.2,25084,tt9252508,13600000,
Ad Astra,Movie,2019-9-20,7380,Adventure,1,80,6.5,244364,tt2935510,90000000,127461872
Downton Abbey,TV Series,2011-1-9,3480,Drama,54,,8.7,212227,tt1606375,,
Rambo: Last Blood,Movie,2019-9-20,5340,Action,,26,6.1,102491,tt1206885,50000000,91490353
Bloodline,TV Series,2015-3-20,3600,Drama,4,,7.9,54947,tt3520702,,
Running with the Devil,Movie,2019-9-20,6000,Crime,,42,5.4,8985,tt5792656,,111218
Fractured,Movie,2019-10-11,5940,Thriller,,36,6.4,81469,tt4332232,,
Abominable,Movie,2019-9-27,5820,Animation,,61,7.0,40234,tt6324278,75000000,190304772
The Laundromat,Movie,2019-9-27,5760,Comedy,,57,6.3,52659,tt5865326,,
Judy,Movie,2019-10-4,7080,Biography,1,66,6.8,52428,tt7549996,,45987812
Prey,Movie,2022-8-5,6000,Action,,71,7.1,204239,tt11866324,65000000,
10 Minutes Gone,Movie,2019-9-27,5340,Action,,13,3.6,4081,tt8809652,,332731
Joker,Movie,2019-10-4,7320,Crime,9,59,8.4,1338116,tt7286456,55000000,1074458282
Lucy in the Sky,Movie,2019-10-4,7440,Drama,,36,4.9,8230,tt4682804,,481707
Dolemite Is My Name,Movie,2019-10-25,7080,Biography,,76,7.2,62565,tt8526872,,
In the Tall Grass,Movie,2019-10-4,6060,Horror,,46,5.4,59253,tt4687108,,
Low Tide,Movie,2019-9-5,5160,Drama,,64,6.3,2892,tt7434324,,
Wrinkles the Clown,Movie,2019-10-4,4680,Documentary,,53,4.9,1470,tt9097270,,14938
Little Monsters,Movie,2019-10-11,5580,Comedy,,59,6.3,18183,tt7390588,,425155
Gemini Man,Movie,2019-10-11,7020,Action,,38,5.7,116218,tt1025100,138000000,173469516
The Addams Family,Movie,1991-11-22,5940,Comedy,1,57,6.9,170361,tt0101272,30000000,191502426
The King,Movie,2019-11-1,8400,Biography,,62,7.3,136929,tt7984766,,126931
Jexi,Movie,2019-10-11,5040,Comedy,,39,6.0,29173,tt9354944,5000000,9341824
Polaroid,Movie,2019-9-17,5280,Drama,,,5.1,15012,tt5598292,,1772204
El Camino: A Breaking Bad Movie,Movie,2019-10-11,7320,Action,4,72,7.3,263522,tt9243946,6000000,
Maleficent: Mistress of Evil,Movie,2019-10-18,7140,Adventure,1,43,6.6,109750,tt4777008,185000000,491730089
Zombieland: Double Tap,Movie,2019-10-18,5940,Action,,55,6.7,187082,tt1560220,42000000,122810399
Jojo Rabbit,Movie,2019-11-8,6480,Comedy,5,58,7.9,406040,tt2584384,14000000,93757609
The Lighthouse,Movie,2019-11-1,6540,Drama,1,83,7.4,228125,tt7984734,11000000,18129854
Wounds,Movie,2019-10-18,5700,Drama,,51,4.1,20246,tt5913798,,
Black and Blue,Movie,2019-10-25,6480,Action,,54,6.4,25005,tt7390646,12000000,22741061
The Current War: Director's Cut,Movie,2019-10-25,6120,Biography,,55,6.5,28818,tt2140507,30000000,12217160
Countdown,Movie,2019-10-25,5400,Horror,,31,5.4,40985,tt10039344,6500000,48021766
The Kill Team,Movie,2019-10-25,5220,Action,,60,6.0,6275,tt6196936,,415772
The Gallows Act II,Movie,2019-10-25,5940,Horror,,,4.2,2189,tt7473716,,
Terminator: Dark Fate,Movie,2019-11-1,7680,Action,,54,6.2,183214,tt6450804,185000000,261119292
Motherless Brooklyn,Movie,2019-11-1,8640,Crime,,60,6.8,59810,tt0385887,26000000,18477736
The Irishman,Movie,2019-11-27,12540,Biography,10,94,7.8,400341,tt1302006,159000000,968853
Harriet,Movie,2019-11-1,7500,Action,2,66,6.7,28611,tt4648786,17000000,43347017
Arctic Dogs,Movie,2019-11-1,5520,Animation,,28,4.8,2095,tt4426464,61000000,9872644
Marriage Story,Movie,2019-12-6,8220,Drama,5,94,7.9,321944,tt7653254,18600000,333686
Doctor Sleep,Movie,2019-11-8,9120,Drama,,59,7.3,200080,tt5606664,45000000,72381712
Last Christmas,Movie,2019-11-8,6180,Comedy,,50,6.5,83518,tt8623904,25000000,123446172
Playing with Fire,Movie,2019-11-8,5760,Comedy,,24,5.1,15273,tt9134216,29900000,69412425
Let It Snow,Movie,2019-11-8,5520,Comedy,,51,5.8,23463,tt1950235,,
Midway,Movie,2019-11-8,8280,Action,,47,6.7,88881,tt6924650,100000000,127420861
Klaus,Movie,2019-11-15,5760,Animation,1,65,8.2,164553,tt4729430,40000000,
Honey Boy,Movie,2019-11-27,5640,Drama,,73,7.2,38978,tt8151874,,3400977
Lady and the Tramp,Movie,1955-6-22,4560,Animation,1,78,7.3,140355,tt0048280,4000000,93933394
Noelle,Movie,2019-11-12,6000,Adventure,,48,6.3,24077,tt5097410,,
Ford v Ferrari,Movie,2019-11-15,9120,Action,2,81,8.1,412167,tt1950186,97600000,225508210
Charlie's Angels,Movie,2000-11-3,5880,Action,,52,5.6,190488,tt0160127,93000000,264105545
The Good Liar,Movie,2019-11-15,6540,Crime,,55,6.7,44149,tt5563334,10000000,33856058
The Report,Movie,2019-11-15,7140,Biography,,66,7.2,45956,tt8236336,,232305
Waves,Movie,2019-12-6,8100,Drama,,80,7.5,27636,tt8652728,6000000,2576990
Frozen II,Movie,2019-11-22,6180,Animation,1,64,6.8,179690,tt4520988,150000000,1453683476
A Beautiful Day in the Neighborhood,Movie,2019-11-22,6540,Biography,1,80,7.2,83545,tt3224458,25000000,67925733
21 Bridges,Movie,2019-11-22,5940,Action,,51,6.6,70003,tt8688634,33000000,49939757
Dark Waters,Movie,2019-12-6,7560,Biography,,73,7.6,92839,tt9071322,,23108017
Knives Out,Movie,2019-11-27,7800,Comedy,1,82,7.9,720844,tt8946378,40000000,312897920
Queen,Movie,2014-3-7,8760,Adventure,,,8.1,66845,tt3322420,120000000,502391
The Two Popes,Movie,2019-12-20,7500,Biography,3,75,7.6,127436,tt8404614,,243711
Playmobil: The Movie,Movie,2019-12-6,5940,Animation,,25,4.9,4341,tt4199898,63000000,16383278
The Aeronauts,Movie,2019-12-20,6000,Action,,60,6.6,35063,tt6141246,,3485251
A Million Little Pieces,Movie,2019-12-6,6780,Drama,,45,6.2,3686,tt0427543,,89825
Daniel Isn't Real,Movie,2019-12-6,6000,Drama,,61,6.1,9272,tt8745960,,75407
Trauma Center,Movie,2019-12-6,5220,Action,,,4.0,11466,tt9625664,,92968
Jumanji: The Next Level,Movie,2019-12-13,7380,Action,,58,6.7,260617,tt7975244,125000000,801693929
Richard Jewell,Movie,2019-12-13,7860,Biography,1,68,7.5,91400,tt3513548,45000000,44655962
Black Christmas,Movie,1974-12-20,5880,Horror,,65,7.1,44003,tt0071222,620000,
6 Underground,Movie,2019-12-13,7680,Action,,41,6.1,183660,tt8106534,150000000,
Bombshell,Movie,2019-12-20,6540,Biography,2,64,6.8,119483,tt6394270,32000000,61404394
Uncut Gems,Movie,2019-12-25,8100,Crime,,91,7.4,293738,tt5727208,19000000,50023780
Seberg,Movie,2020-5-15,6120,Biography,,54,5.9,9525,tt1780967,,655178
A Hidden Life,Movie,2020-1-17,10440,Biography,,78,7.4,25688,tt5827916,,4622354
Live from the Red Carpet of Star Wars: The Rise of Skywalker,TV Special,2019-12-16,7560,,,,,0,tt11464830,,
Cats,Movie,2019-12-20,6600,Comedy,,32,2.8,53048,tt5697572,95000000,75558925
Togo,Movie,2019-12-20,6780,Adventure,,69,7.9,51427,tt5116302,,
Spies in Disguise,Movie,2019-12-25,6120,Animation,,54,6.8,52021,tt5814534,100000000,171616764
Little Women,Movie,2019-12-25,8100,Drama,5,91,7.8,216502,tt3281548,40000000,218843645
1917,Movie,2020-1-10,7140,Action,7,78,8.2,613994,tt8579674,95000000,384577421
Just Mercy,Movie,2020-1-10,8220,Biography,,68,7.6,70926,tt4916630,25000000,50901502
Clemency,Movie,2020-1-24,6720,Drama,1,77,6.5,4924,tt5577494,,364952
The Grudge,Movie,2004-10-22,5460,Horror,,49,5.9,147261,tt0391198,10000000,187281115
Underwater,Movie,2020-1-10,5700,Action,,48,5.8,87056,tt5774060,80000000,40882928
Like a Boss,Movie,2020-1-10,4980,Comedy,,33,4.7,14697,tt7545266,29000000,30399490
Three Christs,Movie,2020-1-3,6540,Drama,,39,6.2,3422,tt5706370,,36723
Inherit the Viper,Movie,2020-1-10,5400,Thriller,,39,5.2,1688,tt7349896,,
The Sonata,Movie,2020-1-10,5400,Music,,41,5.2,1469,tt7149066,,180849
The Murder of Nicole Brown Simpson,Movie,2019-12-9,4920,Crime,,,2.5,1801,tt8415352,,19569
Bad Boys for Life,Movie,2020-1-17,7440,Action,,59,6.5,165725,tt1502397,90000000,426505244
Dolittle,Movie,2020-1-17,6060,Adventure,,26,5.6,66861,tt6673612,175000000,251410631
A Fall from Grace,Movie,2020-1-17,7200,Thriller,,34,5.9,16210,tt11390036,,
The Gentlemen,Movie,2020-1-24,6780,Action,,51,7.8,356470,tt8367814,22000000,115171795
The Turning,Movie,2020-1-24,5640,Drama,,35,3.9,15160,tt7510346,14000000,19428166
The Last Full Measure,Movie,2020-1-24,6960,Drama,,51,6.8,12762,tt0783640,20000000,3364426
John Henry,Movie,2020-1-24,5460,Drama,,27,3.6,2441,tt8170298,,
The Rhythm Section,Movie,2020-1-31,6540,Action,,45,5.4,19019,tt7134096,50000000,5989583
Gretel,Movie,2012-5-16,5340,Fantasy,,,,0,tt2145864,10000,
The Assistant,Movie,2020-1-31,5220,Drama,,79,6.4,23866,tt9000224,,1338881
Birds of Prey,Movie,2020-2-7,6540,Action,,60,6.0,247197,tt7713068,84500000,205372791
The Lodge,Movie,2020-1-16,6480,Drama,,64,6.0,50889,tt7347846,,3155858
Timmy Failure: Mistakes Were Made,Movie,2020-2-7,5940,Adventure,,60,6.0,3156,tt6820324,45000000,
Horse Girl,Movie,2020-2-7,6180,Drama,,61,6.0,18694,tt11388406,,
To All the Boys: P.S. I Still Love You,Movie,2020-2-12,6060,Comedy,,54,6.0,41631,tt9354842,,
Sonic the Hedgehog,Movie,2020-2-14,5940,Action,,47,6.5,145372,tt3794354,85000000,319715683
Fantasy Island,Movie,2020-2-14,6540,Fantasy,,22,4.9,54573,tt0983946,7000000,49447308
The Photograph,Movie,2020-2-14,6360,Drama,,62,6.1,5841,tt7798646,16000000,20690779
Downhill,Movie,2020-2-14,5160,Comedy,,49,4.9,13092,tt4558376,,8899195
Spy Intervention,Movie,2020-2-14,5580,Action,,,3.9,1953,tt7369550,,
The Kindness of Strangers,Movie,2020-2-14,6720,Drama,,32,6.5,4582,tt6515910,,129603
The Call of the Wild,Movie,2020-2-21,6000,Adventure,,48,6.7,52037,tt7504726,135000000,111257878
Emma,Movie,1996-8-30,7200,Comedy,1,66,6.6,40230,tt0116191,6000000,22231658
The Last Thing He Wanted,Movie,2020-2-21,6900,Crime,,35,4.3,16011,tt7456312,,
Brahms: The Boy II,Movie,2020-2-21,5160,Drama,,29,4.7,18787,tt9173418,10000000,20311536
The Night Clerk,Movie,2020-2-21,5400,Crime,,44,5.6,16923,tt7979142,,302127
Impractical Jokers: The Movie,Movie,2020-2-28,5520,Comedy,,39,5.8,6852,tt9208444,3000000,10691091
The Invisible Man,Movie,2020-2-28,7440,Drama,,72,7.1,235674,tt1051906,7000000,144492724
All the Bright Places,Movie,2020-2-28,6420,Drama,,61,6.6,34310,tt3907584,,
Wendy,Movie,2020-4-17,6660,Drama,,55,5.7,3567,tt2420124,6000000,235016
Guns Akimbo,Movie,2020-2-28,5880,Action,,42,6.3,64086,tt6902676,15000000,1034769
Onward,Movie,2020-3-6,6120,Animation,1,61,7.4,155833,tt7146812,175000000,141940042
The Way Back,Movie,2011-1-21,7980,Adventure,1,66,7.3,118819,tt1023114,30000000,24172201
Spenser Confidential,Movie,2020-3-6,6660,Action,,49,6.2,91973,tt8629748,,
The Banker,Movie,2020-3-20,7200,Biography,,59,7.3,30864,tt6285944,,1700000
The Burnt Orange Heresy,Movie,2020-3-6,5940,Drama,,57,6.1,5501,tt8342680,,711691
Swallow,Movie,2020-6-5,5640,Drama,,65,6.5,25317,tt8372298,,274674
First Cow,Movie,2020-7-10,7320,Drama,,89,7.1,19796,tt9231040,,1386609
Bloodshot,Movie,2020-3-13,6540,Action,,44,5.7,80561,tt1634106,45000000,39861118
The Hunt,Movie,2013-1-10,6900,Drama,1,77,8.3,338758,tt2106476,3800000,15886373
I Still Believe,Movie,2020-3-13,6960,Biography,,41,6.4,12606,tt9779516,12000000,16069730
Lost Girls,Movie,2020-3-13,5700,Crime,,67,6.1,23009,tt3111426,,
Stargirl,TV Series,2020-5-18,33960,Action,,,7.1,19361,tt8722888,,
The Roads Not Taken,Movie,2020-3-13,5100,Drama,,42,5.2,2561,tt9411866,,105439
Never Rarely Sometimes Always,Movie,2020-4-3,6060,Drama,,92,7.4,29630,tt7772582,,299588
Big Time Adolescence,Movie,2020-3-13,5460,Comedy,,64,6.9,14550,tt3824648,,
Lost Transmissions,Movie,2020-3-13,6300,Drama,,51,5.1,1119,tt6744360,,
